Model directory: /root/../pvcvolume/idm_attacker/
INFO:__main__:Starting PPO training...
INFO:__main__:Environment: idm, Workers: 4, Total Timesteps: 1000000
INFO:__main__:Hyperparameters: gamma=0.9, lambda=0.9, clip_eps=0.2, lr=0.0003
INFO:__main__:Batch Size (Workers * Steps): 1024
INFO:__main__:Total PPO Updates: 976
INFO:__main__:Update: 114/976, Timesteps: 116736/1000000, FPS: 54, Episodes: 1471, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 54.08
INFO:__main__:Update: 115/976, Timesteps: 117760/1000000, FPS: 53, Episodes: 1486, Avg Reward (Last 100): 0.38, Avg Length (Last 100): 54.90
INFO:__main__:Update: 116/976, Timesteps: 118784/1000000, FPS: 52, Episodes: 1503, Avg Reward (Last 100): 0.50, Avg Length (Last 100): 53.74
INFO:__main__:Update: 117/976, Timesteps: 119808/1000000, FPS: 53, Episodes: 1519, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 53.98
INFO:__main__:Update: 118/976, Timesteps: 120832/1000000, FPS: 51, Episodes: 1538, Avg Reward (Last 100): 0.65, Avg Length (Last 100): 53.45
INFO:__main__:Update: 119/976, Timesteps: 121856/1000000, FPS: 55, Episodes: 1554, Avg Reward (Last 100): 0.59, Avg Length (Last 100): 54.17
INFO:__main__:Update: 120/976, Timesteps: 122880/1000000, FPS: 53, Episodes: 1568, Avg Reward (Last 100): 0.53, Avg Length (Last 100): 55.58
INFO:__main__:Update: 121/976, Timesteps: 123904/1000000, FPS: 55, Episodes: 1582, Avg Reward (Last 100): 0.62, Avg Length (Last 100): 56.97
INFO:__main__:Update: 122/976, Timesteps: 124928/1000000, FPS: 52, Episodes: 1600, Avg Reward (Last 100): 0.80, Avg Length (Last 100): 56.47
INFO:__main__:Update: 123/976, Timesteps: 125952/1000000, FPS: 53, Episodes: 1618, Avg Reward (Last 100): 0.92, Avg Length (Last 100): 55.62
INFO:__main__:Update: 124/976, Timesteps: 126976/1000000, FPS: 52, Episodes: 1634, Avg Reward (Last 100): 0.80, Avg Length (Last 100): 56.13
INFO:__main__:Update: 125/976, Timesteps: 128000/1000000, FPS: 54, Episodes: 1649, Avg Reward (Last 100): 0.83, Avg Length (Last 100): 55.80
INFO:__main__:Update: 126/976, Timesteps: 129024/1000000, FPS: 54, Episodes: 1664, Avg Reward (Last 100): 0.74, Avg Length (Last 100): 55.90
INFO:__main__:Update: 127/976, Timesteps: 130048/1000000, FPS: 56, Episodes: 1678, Avg Reward (Last 100): 0.80, Avg Length (Last 100): 55.60
INFO:__main__:Update: 128/976, Timesteps: 131072/1000000, FPS: 55, Episodes: 1693, Avg Reward (Last 100): 0.62, Avg Length (Last 100): 56.47
INFO:__main__:Update: 129/976, Timesteps: 132096/1000000, FPS: 54, Episodes: 1708, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 57.42
INFO:__main__:Update: 130/976, Timesteps: 133120/1000000, FPS: 53, Episodes: 1725, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 57.14
INFO:__main__:Update: 131/976, Timesteps: 134144/1000000, FPS: 49, Episodes: 1741, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 56.87
INFO:__main__:Update: 132/976, Timesteps: 135168/1000000, FPS: 55, Episodes: 1755, Avg Reward (Last 100): 0.53, Avg Length (Last 100): 57.25
INFO:__main__:Update: 133/976, Timesteps: 136192/1000000, FPS: 54, Episodes: 1771, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 57.85
INFO:__main__:Update: 134/976, Timesteps: 137216/1000000, FPS: 54, Episodes: 1787, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 56.02
INFO:__main__:Update: 135/976, Timesteps: 138240/1000000, FPS: 51, Episodes: 1803, Avg Reward (Last 100): 0.62, Avg Length (Last 100): 56.19
INFO:__main__:Update: 136/976, Timesteps: 139264/1000000, FPS: 54, Episodes: 1819, Avg Reward (Last 100): 0.71, Avg Length (Last 100): 56.26
INFO:__main__:Update: 137/976, Timesteps: 140288/1000000, FPS: 53, Episodes: 1837, Avg Reward (Last 100): 0.74, Avg Length (Last 100): 55.73
INFO:__main__:Update: 138/976, Timesteps: 141312/1000000, FPS: 54, Episodes: 1852, Avg Reward (Last 100): 0.68, Avg Length (Last 100): 56.34
INFO:__main__:Update: 139/976, Timesteps: 142336/1000000, FPS: 53, Episodes: 1869, Avg Reward (Last 100): 0.74, Avg Length (Last 100): 55.80
